mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
parSeq__ReqNeu36.xml,delOutput__CloseClutch_0.xml,Template01,PASSED,3,3,8
delOutput__CloseClutch_0.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,1,8
parSeq__ReqNeu36.xml,parSeq__ClutchIsClosed1.xml,Template6,FAILED,6,3,8
parSeq__ClutchIsClosed1.xml,parSeq__ReqNeu36.xml,Template02,FAILED,6,1,9
parSeq__ReqNeu36.xml,commLoc_30.xml,Template01,PASSED,3,3,9
commLoc_30.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,1,8
parSeq__ReqNeu36.xml,MaskVarChannel__sport_Template.xml,Template03,PASSED,3,3,9
MaskVarChannel__sport_Template.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,2,8
urgLoc_39.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,2,10
parSeq__ReqNeu36.xml,urgLoc_39.xml,Template02,PASSED,3,3,8
MaskVarChannel_RqZeroTorque_Template0.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,1,8
MaskVarChannel__ReqNeu_Template0.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,2,8
parSeq__ReqNeu36.xml,MaskVarChannel__ReqNeu_Template0.xml,Template01,PASSED,1,1,9
parSeq__ReqNeu36.xml,parSeq__ClutchIsOpen31.xml,Template5,FAILED,6,4,8
parSeq__ClutchIsOpen31.xml,parSeq__ReqNeu36.xml,Template03,FAILED,6,1,8
commLoc_18.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,1,8
parSeq__ReqNeu36.xml,commLoc_18.xml,Template01,PASSED,3,3,9
parSeq__ReqNeu36.xml,parSeq__ReqNewGear21.xml,Template03,FAILED,5,1,9
parSeq__ReqNewGear21.xml,parSeq__ReqNeu36.xml,Template03,FAILED,5,3,8
parSeq__ReqNeu36.xml,parSeq__CloseClutch6.xml,Template06,FAILED,6,2,14
parSeq__CloseClutch6.xml,parSeq__ReqNeu36.xml,Template06,FAILED,6,4,6
parSeq__ReqNeu36.xml,delSync__ClutchIsClosed3.xml,Template6,FAILED,6,4,7
delSync__ClutchIsClosed3.xml,parSeq__ReqNeu36.xml,Template03,FAILED,6,1,8
parSeq__ReqNeu36.xml,parSeq__void47.xml,Template06,FAILED,6,5,9
parSeq__void47.xml,parSeq__ReqNeu36.xml,Template06,FAILED,6,1,8
parSeq__ReqNeu36.xml,delOutput__ReqNeu_1.xml,Template01,PASSED,3,3,7
delOutput__ReqNeu_1.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,1,8
parSeq__ReqNeu36.xml,urgChan__void.xml,Template02,PASSED,3,3,8
urgChan__void.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,1,8
MaskVarChannel__ClutchIsClosed_Template0.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,1,12
parSeq__ReqNeu36.xml,MaskVarChannel__ClutchIsClosed_Template0.xml,Template01,PASSED,3,3,7
parSeq__ReqNeu36.xml,urgLoc_41.xml,Template03,PASSED,3,3,8
urgLoc_41.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,2,9
delSync__ClutchIsClosed2.xml,parSeq__ReqNeu36.xml,Template03,FAILED,6,2,9
parSeq__ReqNeu36.xml,delSync__ClutchIsClosed2.xml,Template5,FAILED,6,4,7
parSeq__ReqNeu36.xml,urgLoc_44.xml,Template01,PASSED,3,3,7
urgLoc_44.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,1,7
parSeq__ReqNeu36.xml,MaskVarChannel__GearSet_Template.xml,Template02,PASSED,3,3,7
MaskVarChannel__GearSet_Template.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,1,8
parSeq__ReqSet20.xml,parSeq__ReqNeu36.xml,Template02,FAILED,6,2,7
parSeq__ReqNeu36.xml,parSeq__ReqSet20.xml,Template06,FAILED,6,4,7
parSeq__ReqNeu36.xml,urgLoc_36.xml,Template02,PASSED,3,3,7
urgLoc_36.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,2,7
parSeq__ReqNeu36.xml,parSeq__ReqSet16.xml,Template05,FAILED,6,6,6
parSeq__ReqSet16.xml,parSeq__ReqNeu36.xml,Template04,FAILED,6,4,8
parSeq__ReqNeu36.xml,delSync__GearSet1.xml,Template5,FAILED,6,5,7
delSync__GearSet1.xml,parSeq__ReqNeu36.xml,Template02,FAILED,6,1,8
parSeq__ReqNeu36.xml,commLoc_1.xml,Template02,PASSED,3,3,8
commLoc_1.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,2,8
commLoc_3.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,2,12
parSeq__ReqNeu36.xml,commLoc_3.xml,Template01,PASSED,3,3,10
commLoc_26.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,2,7
parSeq__ReqNeu36.xml,commLoc_26.xml,Template03,PASSED,3,3,7
parSeq__ReqNeu36.xml,urgChan__ReqNeu.xml,Template03,PASSED,3,3,7
urgChan__ReqNeu.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,2,9
parSeq__ReqNeu36.xml,MaskVarChannel__ClutchIsOpen_Template.xml,Template01,PASSED,3,3,7
MaskVarChannel__ClutchIsOpen_Template.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,1,8
parSeq__ReqNeu36.xml,parSeq__GearNeu38.xml,Template6,FAILED,6,4,8
parSeq__GearNeu38.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,1,8
parSeq__ReqNeu36.xml,delOutput__ReqNewGear_0.xml,Template03,PASSED,3,3,8
delOutput__ReqNewGear_0.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,1,7
MaskVarChannel__ClutchIsOpen_Template0.xml,parSeq__ReqNeu36.xml,Template03,FAILED,3,2,7
parSeq__ReqNeu36.xml,MaskVarChannel__ClutchIsOpen_Template0.xml,Template01,PASSED,3,3,8
parSeq__ReqSet19.xml,parSeq__ReqNeu36.xml,Template04,FAILED,6,4,8
parSeq__ReqNeu36.xml,parSeq__ReqSet19.xml,Template05,FAILED,6,2,6
parSeq__ReqNeu36.xml,commLoc_41.xml,Template01,PASSED,3,3,8
commLoc_41.xml,parSeq__ReqNeu36.xml,Template02,FAILED,3,2,7
parSeq__ReqNeu36.xml,delSync__ReqSet4.xml,Template05,FAILED,6,4,8
delSync__ReqSet4.xml,parSeq__ReqNeu36.xml,Template06,FAILED,6,4,8
parSeq__ReqNeu36.xml,parSeq__ReqSet14.xml,Template06,FAILED,6,2,8
parSeq__ReqSet14.xml,parSeq__ReqNeu36.xml,Template02,FAILED,6,2,9
parSeq__ReqNeu36.xml,MaskVarChannel__OpenClutch_Template0.xml,Template02,PASSED,3,3,8
