mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
ccn4.xml,tadSyncid9id12.xml,Template3,FAILED,3,1,29
tadSyncid9id12.xml,ccn4.xml,Template2,PASSED,2,2,7
ccn4.xml,tadSyncid6id13.xml,Template2,FAILED,2,1,7
tadSyncid6id13.xml,ccn4.xml,Template1,PASSED,1,1,9
tmi9.xml,ccn4.xml,Template1,PASSED,3,3,9
ccn4.xml,tmi9.xml,Template1,PASSED,1,1,8
ccn4.xml,tadSyncid10id9.xml,Template3,FAILED,3,1,10
tadSyncid10id9.xml,ccn4.xml,Template2,PASSED,2,2,7
tadSyncid1id8.xml,ccn4.xml,Template1,PASSED,2,2,8
ccn4.xml,tadSyncid1id8.xml,Template3,FAILED,3,2,8
ccn4.xml,tadSyncid8id12.xml,Template3,FAILED,3,1,6
tadSyncid8id12.xml,ccn4.xml,Template2,PASSED,2,2,8
ccn4.xml,tadSyncid11id6.xml,Template1,FAILED,3,2,7
tadSyncid11id6.xml,ccn4.xml,Template2,PASSED,2,2,8
ccn4.xml,tadSyncid5id9.xml,Template3,FAILED,3,3,7
tadSyncid5id9.xml,ccn4.xml,Template2,PASSED,2,2,7
ccn4.xml,tadSyncid11id3.xml,Template3,FAILED,3,1,7
tadSyncid11id3.xml,ccn4.xml,Template2,PASSED,2,2,7
smiNoRedundantTemplateid10.xml,ccn4.xml,Template6,PASSED,9,9,7
ccn4.xml,smiNoRedundantTemplateid10.xml,Template1,PASSED,2,2,7
ccn4.xml,tadSyncid1id2.xml,Template3,FAILED,3,2,7
tadSyncid1id2.xml,ccn4.xml,Template2,PASSED,2,2,7
tadSyncid11id9.xml,ccn4.xml,Template2,PASSED,2,2,7
ccn4.xml,tadSyncid11id9.xml,Template3,FAILED,3,1,7
ccn4.xml,tadSyncid4id1.xml,Template3,FAILED,3,1,7
tadSyncid4id1.xml,ccn4.xml,Template1,PASSED,2,2,7
ccn4.xml,smiTemplateid10.xml,Template1,PASSED,2,2,7
smiTemplateid10.xml,ccn4.xml,Template1,PASSED,9,9,7
tmi17.xml,ccn4.xml,Template1,PASSED,3,3,6
ccn4.xml,tmi17.xml,Template1,PASSED,1,1,6
