mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
ccn4.xml,tadSyncid9id12.xml,Template11,true,12,12,6
tadSyncid9id12.xml,ccn4.xml,Template4,true,10,10,14
ccn4.xml,tadSyncid6id13.xml,Template13,true,16,16,33
tadSyncid6id13.xml,ccn4.xml,Template11,true,14,14,32
tmi9.xml,ccn4.xml,Template9,true,12,12,27
ccn4.xml,tmi9.xml,Template9,true,10,10,28
ccn4.xml,tadSyncid10id9.xml,Template1,true,14,14,5
tadSyncid10id9.xml,ccn4.xml,Template1,true,12,12,6
tadSyncid1id8.xml,ccn4.xml,Template9,true,10,10,33
ccn4.xml,tadSyncid1id8.xml,Template9,true,12,12,36
ccn4.xml,tadSyncid8id12.xml,Template12,true,12,12,30
tadSyncid8id12.xml,ccn4.xml,Template5,true,10,10,36
ccn4.xml,tadSyncid11id6.xml,Template6,false,12,2,4
tadSyncid11id6.xml,ccn4.xml,Template6,true,10,10,7
ccn4.xml,tadSyncid5id9.xml,Template15,true,16,16,35
tadSyncid5id9.xml,ccn4.xml,Template12,true,14,14,36
ccn4.xml,tadSyncid11id3.xml,Template3,false,12,3,9
tadSyncid11id3.xml,ccn4.xml,Template9,true,10,10,35
smiNoRedundantTemplateid10.xml,ccn4.xml,Template17,false,21,3,25
ccn4.xml,smiNoRedundantTemplateid10.xml,Template1,true,12,12,6
ccn4.xml,tadSyncid1id2.xml,Template12,true,12,12,36
tadSyncid1id2.xml,ccn4.xml,Template2,true,10,10,35
tadSyncid11id9.xml,ccn4.xml,Template3,true,10,10,9
ccn4.xml,tadSyncid11id9.xml,Template2,true,12,12,5
ccn4.xml,tadSyncid4id1.xml,Template1,false,12,1,26
tadSyncid4id1.xml,ccn4.xml,Template9,true,10,10,36
ccn4.xml,smiTemplateid10.xml,Template9,true,12,12,6
smiTemplateid10.xml,ccn4.xml,Template9,false,21,5,26
tmi17.xml,ccn4.xml,Template6,true,8,8,6
ccn4.xml,tmi17.xml,Template2,true,6,6,6
smiTemplateid5.xml,ccn4.xml,Template20,true,21,21,27
ccn4.xml,smiTemplateid5.xml,Template3,true,12,12,36
ccn4.xml,tadSyncid4id10.xml,Template11,true,16,16,27
tadSyncid4id10.xml,ccn4.xml,Template9,true,14,14,34
ccn4.xml,tadSyncid12id13.xml,Template14,true,14,14,29
tadSyncid12id13.xml,ccn4.xml,Template10,true,12,12,35
ccn4.xml,smiTemplateid2.xml,Template4,true,10,10,35
smiTemplateid2.xml,ccn4.xml,Template8,true,15,15,27
ccn4.xml,tadSyncid9id7.xml,Template4,false,16,3,6
tadSyncid9id7.xml,ccn4.xml,Template7,true,14,14,32
ccn4.xml,tadSyncid12id8.xml,Template1,false,12,2,4
tadSyncid12id8.xml,ccn4.xml,Template9,true,10,10,37
tadSyncid8id10.xml,ccn4.xml,Template7,true,12,12,30
ccn4.xml,tadSyncid8id10.xml,Template8,true,14,14,32
tadSyncid10id7.xml,ccn4.xml,Template1,true,18,18,12
ccn4.xml,tadSyncid10id7.xml,Template20,false,20,2,4
tadSyncid12id4.xml,ccn4.xml,Template10,true,10,10,29
ccn4.xml,tadSyncid12id4.xml,Template7,false,12,2,8
tadSyncid3id4.xml,ccn4.xml,Template5,true,10,10,28
ccn4.xml,tadSyncid3id4.xml,Template8,true,12,12,36
ccn4.xml,tadSyncid2id4.xml,Template5,true,12,12,36
tadSyncid2id4.xml,ccn4.xml,Template1,true,10,10,35
tadSyncid8id8.xml,ccn4.xml,Template5,true,5,5,35
ccn4.xml,tadSyncid8id8.xml,Template1,true,6,6,13
ccn4.xml,tadSyncid9id8.xml,Template4,false,12,1,5
tadSyncid9id8.xml,ccn4.xml,Template9,true,10,10,32
tadSyncid13id4.xml,ccn4.xml,Template1,true,14,14,13
ccn4.xml,tadSyncid13id4.xml,Template13,false,16,4,11
ccn4.xml,tadSyncid10id1.xml,Template14,false,16,3,6
tadSyncid10id1.xml,ccn4.xml,Template6,true,14,14,35
tadSyncid11id8.xml,ccn4.xml,Template4,true,10,10,5
ccn4.xml,tadSyncid11id8.xml,Template1,false,12,3,5
tadSyncid10id11.xml,ccn4.xml,Template1,true,12,12,9
ccn4.xml,tadSyncid10id11.xml,Template10,true,14,14,6
tadSyncid11id11.xml,ccn4.xml,Template1,true,5,5,6
ccn4.xml,tadSyncid11id11.xml,Template6,true,6,6,7
ccn4.xml,tadSyncid12id6.xml,Template6,false,12,1,5
tadSyncid12id6.xml,ccn4.xml,Template9,true,10,10,31
smiNoRedundantTemplateid5.xml,ccn4.xml,Template19,true,21,21,27
ccn4.xml,smiNoRedundantTemplateid5.xml,Template11,true,12,12,34
tadSyncid13id1.xml,ccn4.xml,Template10,true,12,12,34
ccn4.xml,tadSyncid13id1.xml,Template12,false,14,4,13
tadSyncid7id9.xml,ccn4.xml,Template11,true,14,14,26
ccn4.xml,tadSyncid7id9.xml,Template1,true,16,16,32
ccn4.xml,tmi15.xml,Template1,true,10,10,6
tmi15.xml,ccn4.xml,Template5,false,12,5,25
smiTemplateid4.xml,ccn4.xml,Template10,true,19,19,31
ccn4.xml,smiTemplateid4.xml,Template14,true,14,14,27
tadSyncid9id6.xml,ccn4.xml,Template10,true,10,10,28
ccn4.xml,tadSyncid9id6.xml,Template12,false,12,2,5
tadSyncid10id4.xml,ccn4.xml,Template14,true,14,14,30
ccn4.xml,tadSyncid10id4.xml,Template2,false,16,3,5
ccn4.xml,tadSyncid8id3.xml,Template3,false,12,1,5
tadSyncid8id3.xml,ccn4.xml,Template10,true,10,10,26
ccn4.xml,tadSyncid0id0.xml,Template5,true,6,6,31
