mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
tmi9.xml,ccn1.xml,Template13,true,20,20,15
ccn1.xml,tmi9.xml,Template12,true,18,18,11
tmi9.xml,tadSyncid0id4.xml,Template25,true,25,25,12
tadSyncid0id4.xml,tmi9.xml,Template1,true,21,21,9
tmi9.xml,tadSyncid0id2.xml,Template19,true,27,27,11
tadSyncid0id2.xml,tmi9.xml,Template19,true,23,23,12
tmi9.xml,tmi1.xml,Template15,true,25,25,11
tmi1.xml,tmi9.xml,Template8,true,24,24,11
tmi9.xml,tadSyncid2id1.xml,Template29,true,30,30,11
tadSyncid2id1.xml,tmi9.xml,Template9,true,26,26,11
tmi9.xml,tadSyncid4id4.xml,Template9,true,21,21,15
tadSyncid4id4.xml,tmi9.xml,Template7,true,18,18,11
tmi9.xml,tadSyncid1id4.xml,Template20,true,28,28,15
tadSyncid1id4.xml,tmi9.xml,Template23,true,24,24,11
tmi9.xml,tadSyncid2id0.xml,Template2,true,27,27,13
tadSyncid2id0.xml,tmi9.xml,Template15,true,23,23,15
tmi9.xml,tmi12.xml,Template1,true,6,6,10
tmi12.xml,tmi9.xml,Template4,true,6,6,10
tmi9.xml,tadSyncid3id0.xml,Template20,true,28,28,12
tadSyncid3id0.xml,tmi9.xml,Template14,true,24,24,12
tmi9.xml,tmi4.xml,Template24,true,25,25,9
tmi4.xml,tmi9.xml,Template5,false,25,13,10
tmi9.xml,tadSyncid3id1.xml,Template18,true,29,29,10
tadSyncid3id1.xml,tmi9.xml,Template19,true,25,25,11
tmi9.xml,tadSyncid4id3.xml,Template1,false,25,1,11
tadSyncid4id3.xml,tmi9.xml,Template12,true,21,21,11
tmi9.xml,tmi6.xml,Template20,true,21,21,14
tmi6.xml,tmi9.xml,Template18,true,20,20,14
tmi9.xml,tadSyncid2id4.xml,Template3,true,24,24,9
tadSyncid2id4.xml,tmi9.xml,Template6,true,20,20,13
tmi9.xml,tadSyncid5id5.xml,Template7,true,21,21,9
tadSyncid5id5.xml,tmi9.xml,Template7,true,18,18,14
tmi9.xml,tadSyncid3id2.xml,Template1,true,27,27,12
tadSyncid3id2.xml,tmi9.xml,Template4,true,23,23,13
tmi9.xml,tmi13.xml,Template7,true,18,18,10
tmi13.xml,tmi9.xml,Template13,false,18,6,12
tmi9.xml,tadSyncid2id3.xml,Template22,false,27,4,8
tadSyncid2id3.xml,tmi9.xml,Template14,true,23,23,15
tmi9.xml,tadSyncid5id0.xml,Template17,false,25,9,9
tadSyncid5id0.xml,tmi9.xml,Template12,true,21,21,16
tmi9.xml,ccn2.xml,Template8,true,20,20,11
ccn2.xml,tmi9.xml,Template9,true,18,18,13
tmi9.xml,cxs1.xml,Template6,true,20,20,19
cxs1.xml,tmi9.xml,Template17,true,18,18,9
tmi9.xml,smiTemplateid4.xml,Template9,true,10,10,13
smiTemplateid4.xml,tmi9.xml,Template17,false,23,5,13
tmi9.xml,cxs2.xml,Template2,true,20,20,9
cxs2.xml,tmi9.xml,Template2,true,18,18,6
tmi9.xml,tadSyncid5id1.xml,Template2,false,28,14,12
tadSyncid5id1.xml,tmi9.xml,Template2,true,24,24,10
tmi9.xml,tadSyncid1id0.xml,Template1,true,29,29,12
tadSyncid1id0.xml,tmi9.xml,Template24,true,25,25,18
tmi9.xml,tadSyncid3id3.xml,Template19,true,24,24,11
tadSyncid3id3.xml,tmi9.xml,Template13,true,21,21,11
tmi9.xml,tmi2.xml,Template9,true,20,20,15
tmi2.xml,tmi9.xml,Template10,true,20,20,11
tmi9.xml,tadSyncid0id3.xml,Template27,false,28,2,9
tadSyncid0id3.xml,tmi9.xml,Template16,true,24,24,11
tmi9.xml,tmi10.xml,Template1,true,2,2,11
tmi10.xml,tmi9.xml,Template1,true,2,2,10
tmi9.xml,tadSyncid4id1.xml,Template26,false,28,1,10
tadSyncid4id1.xml,tmi9.xml,Template2,true,24,24,14
tmi9.xml,tadSyncid3id4.xml,Template21,true,25,25,11
tadSyncid3id4.xml,tmi9.xml,Template3,true,21,21,13
tmi9.xml,tadSyncid5id2.xml,Template4,false,24,4,10
tadSyncid5id2.xml,tmi9.xml,Template6,true,20,20,12
tmi9.xml,tadSyncid0id5.xml,Template20,true,25,25,10
tadSyncid0id5.xml,tmi9.xml,Template18,true,21,21,11
tmi9.xml,smiTemplateid1.xml,Template3,true,22,22,11
smiTemplateid1.xml,tmi9.xml,Template4,false,26,5,13
tmi9.xml,tmi11.xml,Template2,true,4,4,13
tmi11.xml,tmi9.xml,Template1,true,4,4,13
tmi9.xml,tadSyncid0id0.xml,Template20,true,24,24,14
tadSyncid0id0.xml,tmi9.xml,Template16,true,21,21,11
tmi9.xml,tadSyncid1id5.xml,Template12,true,28,28,15
tadSyncid1id5.xml,tmi9.xml,Template2,true,24,24,14
tmi9.xml,tadSyncid5id3.xml,Template21,false,25,2,11
tadSyncid5id3.xml,tmi9.xml,Template12,true,21,21,11
tmi9.xml,tadSyncid1id2.xml,Template10,true,30,30,15
tadSyncid1id2.xml,tmi9.xml,Template19,true,26,26,11
tadSyncid0id4.xml,ccn1.xml,Template9,true,18,18,11
ccn1.xml,tadSyncid0id4.xml,Template9,true,20,20,13
tadSyncid0id2.xml,ccn1.xml,Template9,true,11,11,10
ccn1.xml,tadSyncid0id2.xml,Template2,true,13,13,12
ccn1.xml,tmi1.xml,Template2,true,5,5,11
tmi1.xml,ccn1.xml,Template4,true,6,6,15
ccn1.xml,tadSyncid2id1.xml,Template8,true,14,14,10
tadSyncid2id1.xml,ccn1.xml,Template5,true,12,12,10
tadSyncid4id4.xml,ccn1.xml,Template15,true,15,15,12
ccn1.xml,tadSyncid4id4.xml,Template15,true,16,16,13
tadSyncid1id4.xml,ccn1.xml,Template19,true,21,21,16
ccn1.xml,tadSyncid1id4.xml,Template2,true,23,23,9
tadSyncid2id0.xml,ccn1.xml,Template5,true,11,11,10
ccn1.xml,tadSyncid2id0.xml,Template11,true,13,13,10
ccn1.xml,tmi12.xml,Template9,true,18,18,15
tmi12.xml,ccn1.xml,Template1,true,20,20,9
tadSyncid3id0.xml,ccn1.xml,Template1,true,10,10,9
ccn1.xml,tadSyncid3id0.xml,Template3,true,12,12,15
tmi4.xml,ccn1.xml,Template6,false,9,7,13
ccn1.xml,tmi4.xml,Template5,true,7,7,10
ccn1.xml,tadSyncid3id1.xml,Template10,true,11,11,10
tadSyncid3id1.xml,ccn1.xml,Template9,true,9,9,15
tadSyncid4id3.xml,ccn1.xml,Template10,true,20,20,13
ccn1.xml,tadSyncid4id3.xml,Template21,false,22,5,16
ccn1.xml,tmi6.xml,Template1,true,5,5,11
tmi6.xml,ccn1.xml,Template6,true,6,6,8
tadSyncid2id4.xml,ccn1.xml,Template15,true,19,19,17
ccn1.xml,tadSyncid2id4.xml,Template20,true,21,21,8
tadSyncid5id5.xml,ccn1.xml,Template10,true,15,15,19
ccn1.xml,tadSyncid5id5.xml,Template5,true,16,16,16
tadSyncid3id2.xml,ccn1.xml,Template8,true,11,11,15
ccn1.xml,tadSyncid3id2.xml,Template13,true,13,13,15
tmi13.xml,ccn1.xml,Template5,false,20,3,10
ccn1.xml,tmi13.xml,Template10,true,18,18,15
tadSyncid2id3.xml,ccn1.xml,Template3,true,11,11,16
ccn1.xml,tadSyncid2id3.xml,Template8,false,13,3,11
tadSyncid5id0.xml,ccn1.xml,Template9,true,20,20,11
ccn1.xml,tadSyncid5id0.xml,Template2,false,22,4,8
smiTemplateid4.xml,ccn1.xml,Template5,false,25,15,13
ccn1.xml,smiTemplateid4.xml,Template2,true,10,10,15
ccn1.xml,tadSyncid5id1.xml,Template2,false,23,1,10
tadSyncid5id1.xml,ccn1.xml,Template2,true,21,21,13
tadSyncid1id0.xml,ccn1.xml,Template1,true,9,9,13
ccn1.xml,tadSyncid1id0.xml,Template10,true,11,11,11
tadSyncid3id3.xml,ccn1.xml,Template5,true,5,5,15
ccn1.xml,tadSyncid3id3.xml,Template2,true,6,6,14
tmi2.xml,ccn1.xml,Template18,true,18,18,11
ccn1.xml,tmi2.xml,Template4,true,16,16,15
tadSyncid0id3.xml,ccn1.xml,Template8,true,10,10,12
ccn1.xml,tadSyncid0id3.xml,Template11,false,12,1,10
tmi10.xml,ccn1.xml,Template1,true,20,20,12
ccn1.xml,tmi10.xml,Template1,true,18,18,10
ccn1.xml,tadSyncid4id1.xml,Template4,false,23,4,12
tadSyncid4id1.xml,ccn1.xml,Template18,true,21,21,11
tadSyncid3id4.xml,ccn1.xml,Template7,true,20,20,11
ccn1.xml,tadSyncid3id4.xml,Template12,true,22,22,15
ccn1.xml,tadSyncid5id2.xml,Template3,false,21,5,12
tadSyncid5id2.xml,ccn1.xml,Template10,true,19,19,15
ccn1.xml,tadSyncid0id5.xml,Template16,true,22,22,19
tadSyncid0id5.xml,ccn1.xml,Template14,true,20,20,11
smiTemplateid1.xml,ccn1.xml,Template4,false,12,2,11
ccn1.xml,smiTemplateid1.xml,Template3,true,6,6,9
tmi11.xml,ccn1.xml,Template12,true,20,20,11
ccn1.xml,tmi11.xml,Template11,true,18,18,11
tadSyncid0id0.xml,ccn1.xml,Template5,true,5,5,11
ccn1.xml,tadSyncid0id0.xml,Template1,true,6,6,9
ccn1.xml,tadSyncid1id5.xml,Template16,true,23,23,11
tadSyncid1id5.xml,ccn1.xml,Template13,true,21,21,13
tadSyncid5id3.xml,ccn1.xml,Template1,true,18,18,12
ccn1.xml,tadSyncid5id3.xml,Template19,false,20,2,13
tadSyncid1id2.xml,ccn1.xml,Template1,true,12,12,10
ccn1.xml,tadSyncid1id2.xml,Template1,true,14,14,14
tadSyncid0id2.xml,tadSyncid0id4.xml,Template17,true,21,21,17
tadSyncid0id4.xml,tadSyncid0id2.xml,Template21,true,21,21,13
tadSyncid0id4.xml,tmi1.xml,Template21,true,21,21,12
tmi1.xml,tadSyncid0id4.xml,Template7,true,24,24,14
tadSyncid0id4.xml,tadSyncid2id1.xml,Template4,true,28,28,10
tadSyncid2id1.xml,tadSyncid0id4.xml,Template16,true,28,28,15
tadSyncid4id4.xml,tadSyncid0id4.xml,Template8,true,20,20,13
tadSyncid0id4.xml,tadSyncid4id4.xml,Template15,true,19,19,10
tadSyncid1id4.xml,tadSyncid0id4.xml,Template8,true,11,11,14
tadSyncid0id4.xml,tadSyncid1id4.xml,Template10,true,11,11,11
tadSyncid0id4.xml,tadSyncid2id0.xml,Template18,true,24,24,16
tadSyncid2id0.xml,tadSyncid0id4.xml,Template23,true,24,24,14
tadSyncid0id4.xml,tmi12.xml,Template4,true,21,21,15
tmi12.xml,tadSyncid0id4.xml,Template10,true,25,25,15
tadSyncid3id0.xml,tadSyncid0id4.xml,Template25,true,25,25,11
tadSyncid0id4.xml,tadSyncid3id0.xml,Template25,true,25,25,10
tadSyncid0id4.xml,tmi4.xml,Template19,true,20,20,10
tmi4.xml,tadSyncid0id4.xml,Template7,false,24,4,14
tadSyncid0id4.xml,tadSyncid3id1.xml,Template3,true,27,27,15
tadSyncid3id1.xml,tadSyncid0id4.xml,Template8,true,27,27,15
tadSyncid4id3.xml,tadSyncid0id4.xml,Template25,true,25,25,11
tadSyncid0id4.xml,tadSyncid4id3.xml,Template19,false,25,6,16
tadSyncid0id4.xml,tmi6.xml,Template15,true,21,21,13
tmi6.xml,tadSyncid0id4.xml,Template21,true,24,24,17
tadSyncid0id4.xml,tadSyncid2id4.xml,Template13,true,13,13,13
tadSyncid2id4.xml,tadSyncid0id4.xml,Template8,true,13,13,13
tadSyncid0id4.xml,tadSyncid5id5.xml,Template21,true,24,24,14
tadSyncid5id5.xml,tadSyncid0id4.xml,Template12,true,25,25,15
tadSyncid0id4.xml,tadSyncid3id2.xml,Template19,true,29,29,11
tadSyncid3id2.xml,tadSyncid0id4.xml,Template11,true,29,29,15
tmi13.xml,tadSyncid0id4.xml,Template7,false,25,7,11
tadSyncid0id4.xml,tmi13.xml,Template17,true,21,21,13
tadSyncid2id3.xml,tadSyncid0id4.xml,Template19,true,29,29,15
tadSyncid0id4.xml,tadSyncid2id3.xml,Template28,false,29,2,9
tadSyncid5id0.xml,tadSyncid0id4.xml,Template19,true,25,25,11
tadSyncid0id4.xml,tadSyncid5id0.xml,Template24,true,25,25,12
ccn2.xml,tadSyncid0id4.xml,Template20,true,20,20,15
tadSyncid0id4.xml,ccn2.xml,Template3,true,18,18,9
tadSyncid0id4.xml,cxs1.xml,Template1,true,18,18,9
cxs1.xml,tadSyncid0id4.xml,Template18,true,20,20,7
smiTemplateid4.xml,tadSyncid0id4.xml,Template25,false,27,1,10
tadSyncid0id4.xml,smiTemplateid4.xml,Template9,true,10,10,13
cxs2.xml,tadSyncid0id4.xml,Template4,true,20,20,7
tadSyncid0id4.xml,cxs2.xml,Template16,true,18,18,11
tadSyncid0id4.xml,tadSyncid5id1.xml,Template24,true,29,29,15
tadSyncid5id1.xml,tadSyncid0id4.xml,Template20,true,29,29,15
tadSyncid1id0.xml,tadSyncid0id4.xml,Template1,true,24,24,9
tadSyncid0id4.xml,tadSyncid1id0.xml,Template15,true,24,24,10
tadSyncid3id3.xml,tadSyncid0id4.xml,Template14,true,25,25,11
tadSyncid0id4.xml,tadSyncid3id3.xml,Template23,true,24,24,10
tmi2.xml,tadSyncid0id4.xml,Template1,true,28,28,12
tadSyncid0id4.xml,tmi2.xml,Template5,true,24,24,13
tadSyncid0id3.xml,tadSyncid0id4.xml,Template2,true,22,22,16
tadSyncid0id4.xml,tadSyncid0id3.xml,Template9,true,22,22,11
