mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
tmi9.xml,tmi1.xml,Template1,TIMEOUT,2,2,478
tmi1.xml,tmi9.xml,Template2,TIMEOUT,2,2,431
tmi9.xml,tadSyncid1id2.xml,Template4,FAILED,3,2,7
tadSyncid1id2.xml,tmi9.xml,Template3,TIMEOUT,3,3,425
tmi9.xml,tadSyncid4id1.xml,Template1,FAILED,2,1,8
tadSyncid4id1.xml,tmi9.xml,Template1,TIMEOUT,2,2,208
tmi9.xml,ccn2.xml,Template2,TIMEOUT,1,1,449
ccn2.xml,tmi9.xml,Template1,TIMEOUT,1,1,440
tmi9.xml,tadSyncid3id4.xml,Template3,FAILED,2,3,7
tadSyncid3id4.xml,tmi9.xml,Template2,TIMEOUT,2,2,453
tmi9.xml,tadSyncid2id4.xml,Template3,FAILED,2,3,7
tadSyncid2id4.xml,tmi9.xml,Template2,TIMEOUT,2,2,158
smiTemplateid4.xml,tmi9.xml,Template4,FAILED,3,5,7
tmi9.xml,tadSyncid0id0.xml,Template2,TIMEOUT,2,2,447
tadSyncid0id0.xml,tmi9.xml,Template2,TIMEOUT,2,2,454
tmi9.xml,tadSyncid3id0.xml,Template4,FAILED,3,3,9
tadSyncid3id0.xml,tmi9.xml,Template2,TIMEOUT,3,3,414
tmi9.xml,tmi4.xml,Template3,TIMEOUT,3,3,458
tmi4.xml,tmi9.xml,Template3,TIMEOUT,3,3,417
tmi9.xml,tadSyncid0id3.xml,Template4,FAILED,3,2,10
tadSyncid0id3.xml,tmi9.xml,Template1,TIMEOUT,3,3,393
tmi9.xml,tadSyncid0id4.xml,Template3,FAILED,2,2,7
tadSyncid0id4.xml,tmi9.xml,Template1,TIMEOUT,2,2,404
tmi9.xml,tadSyncid3id2.xml,Template4,FAILED,3,1,9
tadSyncid3id2.xml,tmi9.xml,Template3,TIMEOUT,3,3,420
tmi9.xml,tadSyncid5id0.xml,Template1,FAILED,2,2,8
tadSyncid5id0.xml,tmi9.xml,Template1,TIMEOUT,2,2,147
tmi9.xml,tadSyncid3id1.xml,Template4,FAILED,3,2,10
tadSyncid3id1.xml,tmi9.xml,Template1,TIMEOUT,3,3,395
tmi9.xml,tadSyncid1id4.xml,Template3,FAILED,2,4,8
tadSyncid1id4.xml,tmi9.xml,Template1,TIMEOUT,2,2,397
tmi9.xml,tadSyncid2id3.xml,Template4,FAILED,3,3,7
tadSyncid2id3.xml,tmi9.xml,Template1,TIMEOUT,3,3,152
tmi9.xml,tadSyncid5id3.xml,Template3,FAILED,2,2,8
tadSyncid5id3.xml,tmi9.xml,Template1,TIMEOUT,2,2,177
tmi13.xml,tmi9.xml,Template1,TIMEOUT,1,1,398
tmi9.xml,tadSyncid5id1.xml,Template3,FAILED,2,3,8
tadSyncid5id1.xml,tmi9.xml,Template2,TIMEOUT,2,2,150
tmi9.xml,tmi6.xml,Template3,TIMEOUT,2,2,447
tmi6.xml,tmi9.xml,Template2,TIMEOUT,2,2,428
tmi9.xml,tadSyncid5id5.xml,Template2,FAILED,1,3,9
tadSyncid5id5.xml,tmi9.xml,Template1,TIMEOUT,1,1,145
tmi9.xml,ccn1.xml,Template2,TIMEOUT,1,1,462
ccn1.xml,tmi9.xml,Template1,TIMEOUT,1,1,421
tmi9.xml,tadSyncid2id1.xml,Template4,FAILED,3,4,8
tadSyncid2id1.xml,tmi9.xml,Template3,TIMEOUT,3,3,157
