mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
parSeq__in_231.xml,delSync__from_medium_slave14.xml,Template1,FAILED,5,1,33
delSync__from_medium_slave14.xml,parSeq__in_231.xml,Template4,FAILED,5,3,4
delOutput__data2_0.xml,parSeq__in_231.xml,Template2,FAILED,3,2,8
parSeq__in_231.xml,delOutput__data2_0.xml,Template1,PASSED,3,3,10
parSeq__in_231.xml,delOutput__from_medium_slave_2.xml,Template2,PASSED,3,3,7
delOutput__from_medium_slave_2.xml,parSeq__in_231.xml,Template3,FAILED,3,2,8
parSeq__in_231.xml,parSeq__from_medium_slave26.xml,Template3,FAILED,4,2,7
parSeq__from_medium_slave26.xml,parSeq__in_231.xml,Template4,FAILED,4,1,8
parSeq__in_231.xml,MaskVarChannel__empty_slave_Template0.xml,Template1,PASSED,3,3,8
MaskVarChannel__empty_slave_Template0.xml,parSeq__in_231.xml,Template2,FAILED,3,2,8
parSeq__in_231.xml,delSync__to_medium_slave1.xml,Template02,FAILED,6,4,10
delSync__to_medium_slave1.xml,parSeq__in_231.xml,Template03,FAILED,6,1,11
MaskVarChannel__from_medium_slave_Template.xml,parSeq__in_231.xml,Template2,FAILED,3,1,8
parSeq__in_231.xml,parSeq__from_medium_slave19.xml,Template5,FAILED,6,2,7
parSeq__from_medium_slave19.xml,parSeq__in_231.xml,Template5,FAILED,6,4,7
parSeq__in_231.xml,commLoc_1.xml,Template1,PASSED,3,3,7
commLoc_1.xml,parSeq__in_231.xml,Template2,FAILED,3,2,8
commLoc_3.xml,parSeq__in_231.xml,Template2,FAILED,3,1,12
parSeq__in_231.xml,commLoc_3.xml,Template3,PASSED,3,3,9
parSeq__in_231.xml,delSync__from_medium_slave13.xml,Template4,FAILED,5,1,7
delSync__from_medium_slave13.xml,parSeq__in_231.xml,Template4,FAILED,5,3,10
parSeq__in_231.xml,delSync__from_medium_slave17.xml,Template03,FAILED,6,1,7
delSync__from_medium_slave17.xml,parSeq__in_231.xml,Template6,FAILED,6,4,8
parSeq__in_231.xml,delOutput__data3_0.xml,Template2,PASSED,3,3,6
delOutput__data3_0.xml,parSeq__in_231.xml,Template2,FAILED,3,1,6
parSeq__in_231.xml,urgChan__data3.xml,Template1,PASSED,3,3,12
urgChan__data3.xml,parSeq__in_231.xml,Template3,FAILED,3,1,10
parSeq__in_231.xml,delOutput__in_2_0.xml,Template2,PASSED,3,3,7
delOutput__in_2_0.xml,parSeq__in_231.xml,Template3,FAILED,3,1,7
parSeq__in_231.xml,urgChan_hello.xml,Template1,PASSED,3,3,8
urgChan_hello.xml,parSeq__in_231.xml,Template3,FAILED,3,2,7
delOutput__from_medium_slave_1.xml,parSeq__in_231.xml,Template3,FAILED,3,1,8
parSeq__in_231.xml,delOutput__from_medium_slave_1.xml,Template2,PASSED,3,3,7
parSeq__in_231.xml,delSync__from_medium_slave25.xml,Template02,FAILED,5,3,9
delSync__from_medium_slave25.xml,parSeq__in_231.xml,Template4,FAILED,5,2,7
parSeq__in_231.xml,urgLoc_1.xml,Template3,PASSED,3,3,8
urgLoc_1.xml,parSeq__in_231.xml,Template3,FAILED,3,1,11
parSeq__in_231.xml,MaskVarChannel__to_medium_slave_Template.xml,Template3,PASSED,3,3,10
MaskVarChannel__to_medium_slave_Template.xml,parSeq__in_231.xml,Template2,FAILED,3,2,8
delOutput__empty_slave_0.xml,parSeq__in_231.xml,Template3,FAILED,3,1,8
parSeq__in_231.xml,delOutput__empty_slave_0.xml,Template1,PASSED,3,3,7
parSeq__in_231.xml,urgChan__from_medium_slave.xml,Template3,PASSED,3,3,12
urgChan__from_medium_slave.xml,parSeq__in_231.xml,Template3,FAILED,3,1,13
parSeq__in_231.xml,delOutput__data1_0.xml,Template2,PASSED,3,3,12
delOutput__data1_0.xml,parSeq__in_231.xml,Template3,FAILED,3,1,10
delSync__from_medium_slave2.xml,parSeq__in_231.xml,Template4,FAILED,4,1,14
parSeq__in_231.xml,delSync__from_medium_slave2.xml,Template3,FAILED,4,2,9
parSeq__in_231.xml,parSeq__from_medium_slave13.xml,Template5,FAILED,5,1,12
parSeq__from_medium_slave13.xml,parSeq__in_231.xml,Template4,FAILED,5,3,10
parSeq__in_231.xml,MaskVarChannel__out_2_Template0.xml,Template3,PASSED,3,3,7
MaskVarChannel__out_2_Template0.xml,parSeq__in_231.xml,Template2,FAILED,3,1,12
parSeq__from_medium_slave24.xml,parSeq__in_231.xml,Template6,FAILED,6,5,10
parSeq__in_231.xml,parSeq__from_medium_slave24.xml,Template03,FAILED,6,2,8
parSeq__in_231.xml,delSync__from_medium_slave8.xml,Template4,FAILED,5,2,8
delSync__from_medium_slave8.xml,parSeq__in_231.xml,Template4,FAILED,5,2,7
delSync__from_medium_slave19.xml,parSeq__in_231.xml,Template5,FAILED,6,2,7
parSeq__in_231.xml,delSync__from_medium_slave19.xml,Template02,FAILED,6,1,12
commLoc_7.xml,parSeq__in_231.xml,Template3,FAILED,3,1,12
parSeq__in_231.xml,commLoc_7.xml,Template1,PASSED,3,3,9
parSeq__from_medium_slave16.xml,parSeq__in_231.xml,Template4,FAILED,4,1,9
parSeq__in_231.xml,parSeq__from_medium_slave16.xml,Template3,FAILED,4,2,15
parSeq__in_231.xml,urgChan__empty_slave.xml,Template1,PASSED,3,3,8
urgChan__empty_slave.xml,parSeq__in_231.xml,Template3,FAILED,3,2,12
parSeq__in_231.xml,delOutput__data0_0.xml,Template2,PASSED,3,3,8
delOutput__data0_0.xml,parSeq__in_231.xml,Template2,FAILED,3,1,8
parSeq__in_231.xml,urgLoc_2.xml,Template1,PASSED,3,3,7
urgLoc_2.xml,parSeq__in_231.xml,Template3,FAILED,3,2,12
parSeq__in_231.xml,parSeq__from_medium_slave25.xml,Template02,FAILED,5,4,7
parSeq__from_medium_slave25.xml,parSeq__in_231.xml,Template4,FAILED,5,1,7
parSeq__from_medium_slave21.xml,parSeq__in_231.xml,Template3,FAILED,4,2,9
parSeq__in_231.xml,parSeq__from_medium_slave21.xml,Template3,FAILED,4,3,12
urgChan__data0.xml,parSeq__in_231.xml,Template3,FAILED,3,1,7
parSeq__in_231.xml,urgChan__data0.xml,Template2,PASSED,3,3,13
parSeq__in_231.xml,delSync__from_medium_slave10.xml,Template4,FAILED,5,5,6
delSync__from_medium_slave10.xml,parSeq__in_231.xml,Template4,FAILED,5,1,6
delOutput__from_medium_slave_4.xml,parSeq__in_231.xml,Template2,FAILED,3,1,6
parSeq__in_231.xml,delOutput__from_medium_slave_4.xml,Template1,PASSED,3,3,6
parSeq__in_231.xml,parSeq__empty_slave0.xml,Template5,FAILED,5,3,12
parSeq__empty_slave0.xml,parSeq__in_231.xml,Template3,FAILED,5,2,7
delSync__empty_slave1.xml,parSeq__in_231.xml,Template5,FAILED,5,1,12
parSeq__in_231.xml,delSync__empty_slave1.xml,Template5,FAILED,5,1,6
delSync__out_21.xml,parSeq__in_231.xml,Template5,FAILED,6,1,11
parSeq__in_231.xml,delSync__out_21.xml,Template03,FAILED,6,1,11
parSeq__in_231.xml,MaskVarChannel__data2_Template.xml,Template1,PASSED,3,3,13
MaskVarChannel__data2_Template.xml,parSeq__in_231.xml,Template3,FAILED,3,2,10
parSeq__in_231.xml,commLoc_8.xml,Template1,PASSED,3,3,8
commLoc_8.xml,parSeq__in_231.xml,Template2,FAILED,3,2,12
urgLoc_4.xml,parSeq__in_231.xml,Template3,FAILED,3,2,6
parSeq__in_231.xml,urgLoc_4.xml,Template1,PASSED,3,3,12
parSeq__data01.xml,parSeq__in_231.xml,Template4,FAILED,5,2,7
parSeq__in_231.xml,parSeq__data01.xml,Template5,FAILED,5,3,7
parSeq__in_231.xml,delSync__data31.xml,Template5,FAILED,5,5,11
delSync__data31.xml,parSeq__in_231.xml,Template4,FAILED,5,2,7
parSeq__in_231.xml,parSeq__from_medium_slave30.xml,Template02,FAILED,5,5,10
parSeq__from_medium_slave30.xml,parSeq__in_231.xml,Template4,FAILED,5,4,6
parSeq__in_231.xml,commLoc_6.xml,Template1,PASSED,1,1,13
commLoc_6.xml,parSeq__in_231.xml,Template3,FAILED,3,2,12
parSeq__from_medium_slave12.xml,parSeq__in_231.xml,Template2,FAILED,5,3,6
parSeq__in_231.xml,parSeq__from_medium_slave12.xml,Template4,FAILED,5,5,9
MaskVarChannel__out_2_Template.xml,parSeq__in_231.xml,Template3,FAILED,3,1,6
parSeq__in_231.xml,MaskVarChannel__out_2_Template.xml,Template2,PASSED,3,3,9
delSync__from_medium_slave9.xml,parSeq__in_231.xml,Template2,FAILED,5,2,10
parSeq__in_231.xml,delSync__from_medium_slave9.xml,Template4,FAILED,5,3,11
