mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time_ms
tmi9.xml,tmi1.xml,tmi11,PASSED,10,10,34
tmi1.xml,tmi9.xml,tmi94,PASSED,10,10,27
tmi9.xml,tadSyncid1id2.xml,tadSyncid1id210,PASSED,10,10,30
tadSyncid1id2.xml,tmi9.xml,tmi99,PASSED,10,10,27
tmi9.xml,tadSyncid4id1.xml,tadSyncid4id11,TIMEOUT,10,10,4
tadSyncid4id1.xml,tmi9.xml,tmi95,PASSED,10,10,6
tmi9.xml,ccn2.xml,ccn26,PASSED,10,10,29
ccn2.xml,tmi9.xml,tmi92,PASSED,10,10,33
tmi9.xml,tadSyncid3id4.xml,tadSyncid3id48,PASSED,10,10,39
tadSyncid3id4.xml,tmi9.xml,tmi99,PASSED,10,10,29
tmi9.xml,tadSyncid2id4.xml,tadSyncid2id42,PASSED,10,10,30
tadSyncid2id4.xml,tmi9.xml,tmi91,PASSED,10,10,6
tmi9.xml,cxs1.xml,cxs110,PASSED,10,10,29
cxs1.xml,tmi9.xml,tmi97,FAILED,10,1,4
tmi9.xml,smiTemplateid4.xml,smiTemplateid42,PASSED,10,10,30
smiTemplateid4.xml,tmi9.xml,tmi99,PASSED,10,10,25
tmi9.xml,tadSyncid0id0.xml,tadSyncid0id07,PASSED,10,10,29
tadSyncid0id0.xml,tmi9.xml,tmi97,PASSED,10,10,27
tmi9.xml,tadSyncid3id0.xml,tadSyncid3id07,PASSED,10,10,31
tadSyncid3id0.xml,tmi9.xml,tmi92,PASSED,10,10,27
tmi9.xml,tmi4.xml,tmi42,PASSED,10,10,29
tmi4.xml,tmi9.xml,tmi92,PASSED,10,10,27
tmi9.xml,tadSyncid0id3.xml,tadSyncid0id37,PASSED,10,10,28
tadSyncid0id3.xml,tmi9.xml,tmi95,PASSED,10,10,26
tmi9.xml,tadSyncid0id4.xml,tadSyncid0id47,PASSED,10,10,31
tadSyncid0id4.xml,tmi9.xml,tmi94,PASSED,10,10,28
tmi9.xml,tadSyncid3id2.xml,tadSyncid3id27,PASSED,10,10,30
tadSyncid3id2.xml,tmi9.xml,tmi910,PASSED,10,10,25
tmi9.xml,tadSyncid5id0.xml,tadSyncid5id02,PASSED,10,10,30
tadSyncid5id0.xml,tmi9.xml,tmi99,PASSED,10,10,5
tmi9.xml,tadSyncid3id1.xml,tadSyncid3id17,PASSED,10,10,29
tadSyncid3id1.xml,tmi9.xml,tmi91,PASSED,10,10,27
tmi9.xml,tadSyncid1id4.xml,tadSyncid1id49,PASSED,10,10,29
tadSyncid1id4.xml,tmi9.xml,tmi98,PASSED,10,10,26
tmi9.xml,tadSyncid2id3.xml,tadSyncid2id32,PASSED,10,10,28
tadSyncid2id3.xml,tmi9.xml,tmi99,PASSED,10,10,5
tmi9.xml,tadSyncid5id3.xml,tadSyncid5id33,PASSED,10,10,29
tadSyncid5id3.xml,tmi9.xml,tmi97,PASSED,10,10,5
tmi9.xml,tmi13.xml,tmi134,PASSED,10,10,28
tmi13.xml,tmi9.xml,tmi94,PASSED,10,10,25
tmi9.xml,tadSyncid5id1.xml,tadSyncid5id12,TIMEOUT,10,10,6
tadSyncid5id1.xml,tmi9.xml,tmi98,PASSED,10,10,5
tmi9.xml,tmi6.xml,tmi62,PASSED,10,10,29
tmi6.xml,tmi9.xml,tmi91,PASSED,10,10,26
tmi9.xml,tadSyncid5id5.xml,tadSyncid5id53,PASSED,10,10,29
tadSyncid5id5.xml,tmi9.xml,tmi96,PASSED,10,10,7
tmi9.xml,ccn1.xml,ccn110,PASSED,10,10,33
ccn1.xml,tmi9.xml,tmi93,PASSED,10,10,30
tmi9.xml,cxs2.xml,cxs29,PASSED,10,10,32
cxs2.xml,tmi9.xml,tmi99,FAILED,10,1,4
tmi9.xml,tadSyncid2id1.xml,tadSyncid2id12,PASSED,10,10,38
tadSyncid2id1.xml,tmi9.xml,tmi99,PASSED,10,10,6
tmi9.xml,tadSyncid4id4.xml,tadSyncid4id49,TIMEOUT,10,10,9
tadSyncid4id4.xml,tmi9.xml,tmi93,PASSED,10,10,7
tmi9.xml,tmi2.xml,tmi210,PASSED,10,10,31
tmi2.xml,tmi9.xml,tmi94,PASSED,10,10,36
tmi9.xml,tadSyncid1id0.xml,tadSyncid1id08,PASSED,10,10,36
tadSyncid1id0.xml,tmi9.xml,tmi97,PASSED,10,10,28
tmi9.xml,tadSyncid0id2.xml,tadSyncid0id27,PASSED,10,10,32
tadSyncid0id2.xml,tmi9.xml,tmi96,PASSED,10,10,29
tmi9.xml,tadSyncid4id3.xml,tadSyncid4id39,TIMEOUT,10,10,6
tadSyncid4id3.xml,tmi9.xml,tmi93,PASSED,10,10,5
tmi9.xml,tadSyncid1id5.xml,tadSyncid1id59,PASSED,10,10,45
tadSyncid1id5.xml,tmi9.xml,tmi97,PASSED,10,10,27
tmi9.xml,tadSyncid2id0.xml,tadSyncid2id02,PASSED,10,10,30
tadSyncid2id0.xml,tmi9.xml,tmi91,PASSED,10,10,6
tmi9.xml,tmi12.xml,tmi123,PASSED,10,10,32
tmi12.xml,tmi9.xml,tmi95,PASSED,10,10,29
tmi9.xml,smiTemplateid1.xml,smiTemplateid11,PASSED,10,10,28
smiTemplateid1.xml,tmi9.xml,tmi910,PASSED,10,10,28
tmi9.xml,tmi10.xml,tmi101,PASSED,10,10,30
tmi10.xml,tmi9.xml,tmi96,PASSED,10,10,30
tmi9.xml,tadSyncid3id3.xml,tadSyncid3id38,PASSED,10,10,28
