mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time_ms
tadSyncid17id15.xml,tadSyncid6id16.xml,Template1,FAILED,5,1,22
tadSyncid6id16.xml,tadSyncid17id15.xml,Template2,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid11id15.xml,Template4,FAILED,4,1,7
tadSyncid11id15.xml,tadSyncid17id15.xml,Template4,FAILED,4,1,5
tadSyncid17id15.xml,tadSyncid16id21.xml,Template4,FAILED,5,1,6
tadSyncid16id21.xml,tadSyncid17id15.xml,Template5,FAILED,5,1,7
tadSyncid17id15.xml,tadSyncid9id12.xml,Template4,FAILED,4,1,6
tadSyncid9id12.xml,tadSyncid17id15.xml,Template4,FAILED,4,1,9
tadSyncid17id15.xml,tadSyncid8id18.xml,Template1,FAILED,5,1,5
tadSyncid8id18.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,7
tadSyncid17id15.xml,tadSyncid20id4.xml,Template4,FAILED,5,1,6
tadSyncid20id4.xml,tadSyncid17id15.xml,Template5,FAILED,5,1,6
tadSyncid17id15.xml,tadSyncid6id13.xml,Template4,FAILED,5,1,5
tadSyncid6id13.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,7
tadSyncid17id15.xml,tadSyncid10id9.xml,Template4,FAILED,5,1,5
tadSyncid10id9.xml,tadSyncid17id15.xml,Template2,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid21id17.xml,Template3,FAILED,3,1,7
tadSyncid21id17.xml,tadSyncid17id15.xml,Template2,FAILED,3,1,7
tadSyncid17id15.xml,tadSyncid18id4.xml,Template2,FAILED,5,1,6
tadSyncid18id4.xml,tadSyncid17id15.xml,Template3,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid1id8.xml,Template5,FAILED,5,1,15
tadSyncid1id8.xml,tadSyncid17id15.xml,Template4,FAILED,5,1,11
tadSyncid17id15.xml,tadSyncid8id12.xml,Template5,FAILED,5,1,5
tadSyncid8id12.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid11id21.xml,Template2,FAILED,5,1,7
tadSyncid11id21.xml,tadSyncid17id15.xml,Template2,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid11id6.xml,Template1,FAILED,5,1,7
tadSyncid11id6.xml,tadSyncid17id15.xml,Template3,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid8id15.xml,Template1,FAILED,4,1,6
tadSyncid8id15.xml,tadSyncid17id15.xml,Template1,FAILED,4,1,4
tadSyncid17id15.xml,tadSyncid15id0.xml,Template4,FAILED,4,1,4
tadSyncid15id0.xml,tadSyncid17id15.xml,Template4,FAILED,4,1,8
tadSyncid17id15.xml,tadSyncid3id22.xml,Template3,FAILED,4,1,5
tadSyncid3id22.xml,tadSyncid17id15.xml,Template3,FAILED,3,1,4
tadSyncid17id15.xml,tadSyncid21id5.xml,Template2,FAILED,5,1,5
tadSyncid21id5.xml,tadSyncid17id15.xml,Template5,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid21id22.xml,Template3,FAILED,4,1,6
tadSyncid21id22.xml,tadSyncid17id15.xml,Template1,FAILED,3,1,4
tadSyncid17id15.xml,tadSyncid5id9.xml,Template5,FAILED,5,1,6
tadSyncid5id9.xml,tadSyncid17id15.xml,Template4,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid11id3.xml,Template4,FAILED,5,1,5
tadSyncid11id3.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,5
tadSyncid17id15.xml,tmi1.xml,Template4,FAILED,4,1,5
tmi1.xml,tadSyncid17id15.xml,Template5,FAILED,6,1,5
tadSyncid17id15.xml,tadSyncid15id5.xml,Template1,FAILED,4,1,4
tadSyncid15id5.xml,tadSyncid17id15.xml,Template2,FAILED,4,1,5
tadSyncid17id15.xml,tadSyncid1id2.xml,Template2,FAILED,5,1,8
tadSyncid1id2.xml,tadSyncid17id15.xml,Template3,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid15id19.xml,Template4,FAILED,4,1,5
tadSyncid15id19.xml,tadSyncid17id15.xml,Template4,FAILED,4,1,5
tadSyncid17id15.xml,tadSyncid11id9.xml,Template3,FAILED,5,1,4
tadSyncid11id9.xml,tadSyncid17id15.xml,Template5,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid4id1.xml,Template5,FAILED,5,1,5
tadSyncid4id1.xml,tadSyncid17id15.xml,Template2,FAILED,5,1,7
tadSyncid17id15.xml,smiTemplateid10.xml,Template1,FAILED,3,1,5
smiTemplateid10.xml,tadSyncid17id15.xml,Template6,FAILED,6,1,4
tadSyncid17id15.xml,tadSyncid16id1.xml,Template5,FAILED,5,1,4
tadSyncid16id1.xml,tadSyncid17id15.xml,Template3,FAILED,5,1,8
tadSyncid17id15.xml,tadSyncid17id1.xml,Template2,FAILED,4,1,4
tadSyncid17id1.xml,tadSyncid17id15.xml,Template1,FAILED,4,1,4
tadSyncid17id15.xml,tadSyncid4id10.xml,Template4,FAILED,5,1,5
tadSyncid4id10.xml,tadSyncid17id15.xml,Template2,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid10id14.xml,Template4,FAILED,5,1,5
tadSyncid10id14.xml,tadSyncid17id15.xml,Template4,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid6id15.xml,Template3,FAILED,4,1,5
tadSyncid6id15.xml,tadSyncid17id15.xml,Template1,FAILED,4,1,4
tadSyncid17id15.xml,smiTemplateid2.xml,Template1,FAILED,3,1,5
smiTemplateid2.xml,tadSyncid17id15.xml,Template7,FAILED,7,1,5
tadSyncid17id15.xml,tadSyncid9id7.xml,Template5,FAILED,5,1,5
tadSyncid9id7.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,6
tadSyncid17id15.xml,tadSyncid18id7.xml,Template3,FAILED,5,1,6
tadSyncid18id7.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid17id6.xml,Template1,FAILED,4,1,5
tadSyncid17id6.xml,tadSyncid17id15.xml,Template1,FAILED,4,1,5
tadSyncid17id15.xml,tadSyncid12id22.xml,Template2,FAILED,4,1,4
tadSyncid12id22.xml,tadSyncid17id15.xml,Template2,FAILED,4,1,4
tadSyncid17id15.xml,tadSyncid1id19.xml,Template5,FAILED,5,1,5
tadSyncid1id19.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid15id3.xml,Template4,FAILED,4,1,5
tadSyncid15id3.xml,tadSyncid17id15.xml,Template4,FAILED,4,1,4
tadSyncid17id15.xml,tadSyncid18id15.xml,Template3,FAILED,4,1,5
tadSyncid18id15.xml,tadSyncid17id15.xml,Template3,FAILED,4,1,6
tadSyncid17id15.xml,tadSyncid21id6.xml,Template2,FAILED,5,1,6
tadSyncid21id6.xml,tadSyncid17id15.xml,Template3,FAILED,5,1,6
tadSyncid17id15.xml,tadSyncid12id8.xml,Template5,FAILED,5,1,4
tadSyncid12id8.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid21id4.xml,Template3,FAILED,5,1,6
tadSyncid21id4.xml,tadSyncid17id15.xml,Template5,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid8id10.xml,Template1,FAILED,5,1,5
tadSyncid8id10.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid14id16.xml,Template1,FAILED,5,1,5
tadSyncid14id16.xml,tadSyncid17id15.xml,Template4,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid16id17.xml,Template2,FAILED,4,1,5
tadSyncid16id17.xml,tadSyncid17id15.xml,Template3,FAILED,4,1,4
tadSyncid17id15.xml,tadSyncid16id16.xml,Template4,FAILED,4,1,5
tadSyncid16id16.xml,tadSyncid17id15.xml,Template3,FAILED,4,1,6
tadSyncid17id15.xml,tadSyncid21id10.xml,Template1,FAILED,5,1,5
tadSyncid21id10.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid10id7.xml,Template4,FAILED,5,1,4
tadSyncid10id7.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid12id4.xml,Template5,FAILED,5,1,4
tadSyncid12id4.xml,tadSyncid17id15.xml,Template5,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid21id18.xml,Template4,FAILED,5,1,4
tadSyncid21id18.xml,tadSyncid17id15.xml,Template2,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid21id8.xml,Template1,FAILED,5,1,5
tadSyncid21id8.xml,tadSyncid17id15.xml,Template5,FAILED,5,1,5
tadSyncid17id15.xml,ccn2.xml,Template3,FAILED,4,1,4
ccn2.xml,tadSyncid17id15.xml,Template4,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid3id4.xml,Template5,FAILED,5,1,4
tadSyncid3id4.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid2id4.xml,Template1,FAILED,5,1,4
tadSyncid2id4.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid8id8.xml,Template4,FAILED,4,1,5
tadSyncid8id8.xml,tadSyncid17id15.xml,Template3,FAILED,4,1,5
tadSyncid17id15.xml,tadSyncid19id12.xml,Template5,FAILED,5,1,4
tadSyncid19id12.xml,tadSyncid17id15.xml,Template2,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid13id4.xml,Template1,FAILED,5,1,4
tadSyncid13id4.xml,tadSyncid17id15.xml,Template2,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid20id1.xml,Template5,FAILED,5,1,4
tadSyncid20id1.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,4
tadSyncid17id15.xml,tadSyncid21id3.xml,Template3,FAILED,5,1,4
tadSyncid21id3.xml,tadSyncid17id15.xml,Template1,FAILED,5,1,5
tadSyncid17id15.xml,tadSyncid3id14.xml,Template4,FAILED,5,1,5
tadSyncid3id14.xml,tadSyncid17id15.xml,Template2,FAILED,5,1,4
