mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time_ms
MaskVarChannel_resetExp_ExpValve.xml,delSyncNG_Control3.xml,template,TIMEOUT,0,0,0
delSyncNG_Control3.xml,MaskVarChannel_resetExp_ExpValve.xml,template,TIMEOUT,0,0,0
MaskVarChannel_resetExp_ExpValve.xml,delSync_Injector2.xml,template,TIMEOUT,0,0,0
delSync_Injector2.xml,MaskVarChannel_resetExp_ExpValve.xml,template,TIMEOUT,0,0,0
MaskVarChannel_resetExp_ExpValve.xml,urgLoc_Injector_on.xml,template,TIMEOUT,0,0,0
urgLoc_Injector_on.xml,MaskVarChannel_resetExp_ExpValve.xml,template,TIMEOUT,0,0,0
MaskVarChannel_resetExp_ExpValve.xml,urgLoc_O2Valve_on.xml,template,TIMEOUT,0,0,0
urgLoc_O2Valve_on.xml,MaskVarChannel_resetExp_ExpValve.xml,template,TIMEOUT,0,0,0
MaskVarChannel_resetExp_ExpValve.xml,urgLoc_Control_Setup.xml,template,TIMEOUT,0,0,0
urgLoc_Control_Setup.xml,MaskVarChannel_resetExp_ExpValve.xml,template,TIMEOUT,0,0,0
MaskVarChannel_resetExp_ExpValve.xml,commLoc_Injector_on.xml,template,TIMEOUT,0,0,0
commLoc_Injector_on.xml,MaskVarChannel_resetExp_ExpValve.xml,template,TIMEOUT,0,0,0
MaskVarChannel_resetExp_ExpValve.xml,commLoc_Control_Setup.xml,template,TIMEOUT,0,0,0
commLoc_Control_Setup.xml,MaskVarChannel_resetExp_ExpValve.xml,template,TIMEOUT,0,0,0
MaskVarChannel_resetExp_ExpValve.xml,commLoc_Control_p.xml,template,TIMEOUT,0,0,0
commLoc_Control_p.xml,MaskVarChannel_resetExp_ExpValve.xml,template,TIMEOUT,0,0,0
MaskVarChannel_resetExp_ExpValve.xml,urgLoc_Control_openExp.xml,template,TIMEOUT,0,0,0
urgLoc_Control_openExp.xml,MaskVarChannel_resetExp_ExpValve.xml,template,TIMEOUT,0,0,0
MaskVarChannel_resetExp_ExpValve.xml,delSync_Control8.xml,template,TIMEOUT,0,0,0
delSync_Control8.xml,MaskVarChannel_resetExp_ExpValve.xml,template,TIMEOUT,0,0,0
