mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
tmi9.xml,tmi1.xml,Template9,TIMEOUT,11,11,30
tmi1.xml,tmi9.xml,Template2,TIMEOUT,7,7,6
tmi9.xml,tadSyncid1id2.xml,Template1,TIMEOUT,8,8,31
tadSyncid1id2.xml,tmi9.xml,Template7,TIMEOUT,7,7,6
tmi9.xml,tadSyncid4id1.xml,Template3,FAILED,10,3,5
tadSyncid4id1.xml,tmi9.xml,Template5,TIMEOUT,11,11,24
tmi9.xml,ccn2.xml,Template1,TIMEOUT,10,10,32
ccn2.xml,tmi9.xml,Template5,TIMEOUT,13,13,7
tmi9.xml,tadSyncid3id4.xml,Template9,TIMEOUT,11,11,7
tadSyncid3id4.xml,tmi9.xml,Template2,TIMEOUT,10,10,5
tmi9.xml,tadSyncid2id4.xml,Template6,TIMEOUT,8,8,7
tadSyncid2id4.xml,tmi9.xml,Template8,TIMEOUT,9,9,7
tmi9.xml,cxs1.xml,Template9,TIMEOUT,9,9,6
cxs1.xml,tmi9.xml,Template12,INCONCLUSIVE,12,12,5
tmi9.xml,smiTemplateid4.xml,Template9,TIMEOUT,9,9,5
smiTemplateid4.xml,tmi9.xml,Template6,FAILED,10,1,7
tmi9.xml,tadSyncid0id0.xml,Template13,TIMEOUT,13,13,8
tadSyncid0id0.xml,tmi9.xml,Template4,TIMEOUT,13,13,24
tmi9.xml,tadSyncid3id0.xml,Template10,TIMEOUT,11,11,5
tadSyncid3id0.xml,tmi9.xml,Template2,TIMEOUT,11,11,6
tmi9.xml,tmi4.xml,Template7,TIMEOUT,7,7,6
tmi4.xml,tmi9.xml,Template7,FAILED,8,3,6
tmi9.xml,tadSyncid0id3.xml,Template3,FAILED,9,2,7
tadSyncid0id3.xml,tmi9.xml,Template1,TIMEOUT,11,11,26
tmi9.xml,tadSyncid0id4.xml,Template11,TIMEOUT,12,12,26
tadSyncid0id4.xml,tmi9.xml,Template1,TIMEOUT,7,7,27
tmi9.xml,tadSyncid3id2.xml,Template5,TIMEOUT,10,10,5
tadSyncid3id2.xml,tmi9.xml,Template8,TIMEOUT,8,8,5
tmi9.xml,tadSyncid5id0.xml,Template2,FAILED,9,2,6
tadSyncid5id0.xml,tmi9.xml,Template9,TIMEOUT,13,13,25
tmi9.xml,tadSyncid3id1.xml,Template7,TIMEOUT,9,9,27
tadSyncid3id1.xml,tmi9.xml,Template1,TIMEOUT,9,9,27
tmi9.xml,tadSyncid1id4.xml,Template3,TIMEOUT,11,11,7
tadSyncid1id4.xml,tmi9.xml,Template5,TIMEOUT,9,9,30
tmi9.xml,tadSyncid2id3.xml,Template3,FAILED,8,5,5
tadSyncid2id3.xml,tmi9.xml,Template1,TIMEOUT,9,9,7
tmi9.xml,tadSyncid5id3.xml,Template3,FAILED,12,5,6
tadSyncid5id3.xml,tmi9.xml,Template10,TIMEOUT,13,13,6
tmi9.xml,tmi13.xml,Template2,TIMEOUT,14,14,8
tmi13.xml,tmi9.xml,Template5,FAILED,13,1,6
tmi9.xml,tadSyncid5id1.xml,Template8,FAILED,9,1,10
tadSyncid5id1.xml,tmi9.xml,Template6,TIMEOUT,11,11,25
tmi9.xml,tmi6.xml,Template8,TIMEOUT,9,9,7
tmi6.xml,tmi9.xml,Template11,TIMEOUT,11,11,7
tmi9.xml,tadSyncid5id5.xml,Template12,TIMEOUT,13,13,27
tadSyncid5id5.xml,tmi9.xml,Template7,TIMEOUT,12,12,25
tmi9.xml,ccn1.xml,Template7,TIMEOUT,11,11,26
ccn1.xml,tmi9.xml,Template11,TIMEOUT,13,13,5
tmi9.xml,cxs2.xml,Template10,TIMEOUT,13,13,26
cxs2.xml,tmi9.xml,Template8,INCONCLUSIVE,12,12,4
tmi9.xml,tadSyncid2id1.xml,Template8,TIMEOUT,8,8,5
tadSyncid2id1.xml,tmi9.xml,Template4,TIMEOUT,7,7,8
tmi9.xml,tadSyncid4id4.xml,Template10,TIMEOUT,12,12,6
tadSyncid4id4.xml,tmi9.xml,Template11,TIMEOUT,14,14,6
tmi9.xml,tmi2.xml,Template3,TIMEOUT,11,11,25
tmi2.xml,tmi9.xml,Template9,TIMEOUT,15,15,24
tmi9.xml,tadSyncid1id0.xml,Template9,TIMEOUT,10,10,7
tadSyncid1id0.xml,tmi9.xml,Template8,TIMEOUT,9,9,22
tmi9.xml,tadSyncid0id2.xml,Template10,TIMEOUT,10,10,7
tadSyncid0id2.xml,tmi9.xml,Template2,TIMEOUT,10,10,28
tmi9.xml,tadSyncid4id3.xml,Template2,FAILED,12,6,6
tadSyncid4id3.xml,tmi9.xml,Template4,TIMEOUT,11,11,24
tmi9.xml,tadSyncid1id5.xml,Template11,TIMEOUT,11,11,6
tadSyncid1id5.xml,tmi9.xml,Template11,TIMEOUT,11,11,25
tmi9.xml,tadSyncid2id0.xml,Template7,TIMEOUT,7,7,5
tadSyncid2id0.xml,tmi9.xml,Template5,TIMEOUT,6,6,5
tmi9.xml,smiTemplateid1.xml,Template8,TIMEOUT,8,8,25
smiTemplateid1.xml,tmi9.xml,Template3,FAILED,9,7,8
tmi9.xml,tadSyncid3id3.xml,Template3,TIMEOUT,10,10,6
tadSyncid3id3.xml,tmi9.xml,Template1,TIMEOUT,11,11,28
tmi9.xml,tadSyncid0id5.xml,Template2,TIMEOUT,13,13,29
tadSyncid0id5.xml,tmi9.xml,Template11,TIMEOUT,13,13,25
tmi9.xml,tadSyncid5id2.xml,Template2,FAILED,6,1,7
tadSyncid5id2.xml,tmi9.xml,Template9,TIMEOUT,11,11,6
tadSyncid1id2.xml,tmi1.xml,Template16,TIMEOUT,16,16,7
tmi1.xml,tadSyncid1id2.xml,Template16,TIMEOUT,16,16,25
tmi1.xml,tadSyncid4id1.xml,Template2,FAILED,12,8,9
tadSyncid4id1.xml,tmi1.xml,Template7,TIMEOUT,14,14,6
ccn2.xml,tmi1.xml,Template21,TIMEOUT,23,23,5
tmi1.xml,ccn2.xml,Template8,TIMEOUT,23,23,6
tadSyncid3id4.xml,tmi1.xml,Template16,TIMEOUT,16,16,6
tmi1.xml,tadSyncid3id4.xml,Template2,TIMEOUT,13,13,6
tadSyncid2id4.xml,tmi1.xml,Template10,TIMEOUT,11,11,7
tmi1.xml,tadSyncid2id4.xml,Template13,TIMEOUT,14,14,5
cxs1.xml,tmi1.xml,Template9,INCONCLUSIVE,13,13,5
tmi1.xml,cxs1.xml,Template6,TIMEOUT,21,21,6
smiTemplateid4.xml,tmi1.xml,Template7,FAILED,7,1,6
tmi1.xml,smiTemplateid4.xml,Template2,TIMEOUT,6,6,6
tadSyncid0id0.xml,tmi1.xml,Template15,TIMEOUT,20,20,27
tmi1.xml,tadSyncid0id0.xml,Template16,TIMEOUT,20,20,26
tadSyncid3id0.xml,tmi1.xml,Template10,TIMEOUT,19,19,29
tmi1.xml,tadSyncid3id0.xml,Template7,TIMEOUT,18,18,5
tmi4.xml,tmi1.xml,Template16,FAILED,22,12,8
tmi1.xml,tmi4.xml,Template19,TIMEOUT,19,19,26
tadSyncid0id3.xml,tmi1.xml,Template10,TIMEOUT,17,17,27
tmi1.xml,tadSyncid0id3.xml,Template3,FAILED,19,13,6
tadSyncid0id4.xml,tmi1.xml,Template12,TIMEOUT,12,12,7
tmi1.xml,tadSyncid0id4.xml,Template13,TIMEOUT,16,16,5
tadSyncid3id2.xml,tmi1.xml,Template15,TIMEOUT,15,15,6
tmi1.xml,tadSyncid3id2.xml,Template3,TIMEOUT,19,19,6
tadSyncid5id0.xml,tmi1.xml,Template1,TIMEOUT,13,13,6
tmi1.xml,tadSyncid5id0.xml,Template1,FAILED,14,8,5
tmi1.xml,tadSyncid3id1.xml,Template10,TIMEOUT,17,17,28
tadSyncid3id1.xml,tmi1.xml,Template6,TIMEOUT,18,18,6
tadSyncid1id4.xml,tmi1.xml,Template3,TIMEOUT,14,14,5
tmi1.xml,tadSyncid1id4.xml,Template13,TIMEOUT,13,13,6
tadSyncid2id3.xml,tmi1.xml,Template8,TIMEOUT,17,17,6
tmi1.xml,tadSyncid2id3.xml,Template3,FAILED,19,13,6
tadSyncid5id3.xml,tmi1.xml,Template6,TIMEOUT,16,16,6
tmi1.xml,tadSyncid5id3.xml,Template3,FAILED,13,8,6
tmi13.xml,tmi1.xml,Template7,FAILED,11,1,6
tmi1.xml,tmi13.xml,Template10,TIMEOUT,11,11,5
tmi1.xml,tadSyncid5id1.xml,Template3,FAILED,16,1,7
tadSyncid5id1.xml,tmi1.xml,Template8,TIMEOUT,15,15,6
tmi1.xml,tmi6.xml,Template7,TIMEOUT,16,16,6
tmi6.xml,tmi1.xml,Template18,TIMEOUT,20,20,7
tadSyncid5id5.xml,tmi1.xml,Template12,TIMEOUT,17,17,6
tmi1.xml,tadSyncid5id5.xml,Template5,TIMEOUT,10,10,7
tmi1.xml,ccn1.xml,Template9,TIMEOUT,19,19,7
ccn1.xml,tmi1.xml,Template3,TIMEOUT,20,20,27
cxs2.xml,tmi1.xml,Template10,INCONCLUSIVE,19,19,4
tmi1.xml,cxs2.xml,Template1,TIMEOUT,19,19,5
tmi1.xml,tadSyncid2id1.xml,Template2,TIMEOUT,13,13,7
tadSyncid2id1.xml,tmi1.xml,Template9,TIMEOUT,19,19,5
tadSyncid4id4.xml,tmi1.xml,Template1,TIMEOUT,13,13,6
