mutant1,mutant2,template,passed_test,diff_locations,explored_diffs,elapsed_time
delOutput_new_3.xml,parSeq_old22.xml,Template3,FAILED,3,2,7
parSeq_old22.xml,delOutput_new_3.xml,Template2,PASSED,3,3,6
delSync_old12.xml,delOutput_new_3.xml,Template2,PASSED,3,3,7
delOutput_new_3.xml,delSync_old12.xml,Template3,FAILED,3,1,8
delOutput_new_3.xml,parSeq_old29.xml,Template2,FAILED,3,1,8
parSeq_old29.xml,delOutput_new_3.xml,Template3,PASSED,3,3,9
delOutput_new_3.xml,parSeq_old30.xml,Template2,FAILED,3,1,9
parSeq_old30.xml,delOutput_new_3.xml,Template2,PASSED,3,3,8
delOutput_new_3.xml,delSync_old3.xml,Template3,FAILED,3,1,12
delSync_old3.xml,delOutput_new_3.xml,Template3,PASSED,3,3,8
delOutput_new_3.xml,delSync_old13.xml,Template1,FAILED,2,1,7
delSync_old13.xml,delOutput_new_3.xml,Template1,PASSED,2,2,7
delOutput_new_3.xml,parSeq_up44.xml,Obs2,FAILED,2,1,9
parSeq_up44.xml,delOutput_new_3.xml,Obs1,PASSED,2,2,8
parSeq_down49.xml,delOutput_new_3.xml,Obs2,PASSED,3,3,8
delOutput_new_3.xml,parSeq_down49.xml,Obs3,FAILED,3,2,7
delSync_lower4.xml,delOutput_new_3.xml,Template1,PASSED,3,3,7
delOutput_new_3.xml,delSync_lower4.xml,Template3,FAILED,3,2,7
parSeq_old32.xml,delOutput_new_3.xml,Template2,PASSED,3,3,10
delOutput_new_3.xml,parSeq_old32.xml,Template3,FAILED,3,1,11
delOutput_new_3.xml,parSeq_old33.xml,Template3,FAILED,3,1,8
parSeq_old33.xml,delOutput_new_3.xml,Template1,PASSED,3,3,8
delOutput_new_3.xml,delSync_old6.xml,Template2,FAILED,3,2,8
delSync_old6.xml,delOutput_new_3.xml,Template2,PASSED,3,3,8
delOutput_new_3.xml,parSeq_new14.xml,Template2,FAILED,3,1,7
parSeq_new14.xml,delOutput_new_3.xml,Template1,PASSED,3,3,6
