model,mutant,test_passed,elapsedTime
src/main/resources/mutations/smiTemplateid39/tadSyncid12id26_cleaned/traces/Template2,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/smiTemplateid39.xml,true,7
src/main/resources/mutations/smiTemplateid39/tadSyncid12id26_cleaned/traces/Template1,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/smiTemplateid39.xml,true,9
src/main/resources/mutations/tadSyncid12id26_cleaned/smiTemplateid39/traces/Template4,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/tadSyncid12id26.xml_cleaned.xml,true,27
src/main/resources/mutations/tadSyncid12id26_cleaned/smiTemplateid39/traces/Template3,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/tadSyncid12id26.xml_cleaned.xml,true,7
src/main/resources/mutations/tadSyncid12id26_cleaned/smiTemplateid39/traces/Template2,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/tadSyncid12id26.xml_cleaned.xml,true,7
src/main/resources/mutations/tadSyncid12id26_cleaned/smiTemplateid39/traces/Template1,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/tadSyncid12id26.xml_cleaned.xml,true,7
src/main/resources/mutations/smiTemplateid39/tadSyncid12id26_cleaned/traces/Template5,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/smiTemplateid39.xml,true,9
src/main/resources/mutations/smiTemplateid39/tadSyncid12id26_cleaned/traces/Template4,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/smiTemplateid39.xml,true,8
src/main/resources/mutations/smiTemplateid39/tadSyncid12id26_cleaned/traces/Template3,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/smiTemplateid39.xml,true,11
src/main/resources/mutations/tadSyncid12id26_cleaned/smiTemplateid39/traces/Template4,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/tadSyncid12id26.xml_cleaned.xml,true,27
src/main/resources/mutations/tadSyncid12id26_cleaned/smiTemplateid39/traces/Template3,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/tadSyncid12id26.xml_cleaned.xml,true,7
src/main/resources/mutations/smiTemplateid39/tadSyncid12id26_cleaned/traces/Template5,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/smiTemplateid39.xml,true,9
src/main/resources/mutations/tadSyncid8id23/tadSyncid12id26_cleaned/traces/Template1,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/tadSyncid8id23.xml,true,6
src/main/resources/mutations/smiTemplateid39/tadSyncid12id26_cleaned/traces/Template4,/home/david/Documents/NTAMorphosis/src/main/resources/CombinedModel/smiTemplateid39.xml,true,8
